Article ID,User ID,User Name,Arm,disease,pop_modifier,treatment,int_biomarker,int_bm_mod,bm_positive,num_patients,outcome_type,outcome_units,outcome_value,outcome_range,confidence_interval,table/figure/section,max-duration
11781748,139,tom,A+B,mcrpc,"no-prior-taxane,no-prior-AR-directed",AAP or Enz,TP53,altered,positive,66,"rPFS,PSA PFS",months,3.3,NR,95,Table 3,30
11781748,139,tom,A+B,mcrpc,"no-prior-taxane,no-prior-AR-directed",AAP or Enz,AR,gain,positive,67,"rPFS,PSA PFS",months,5.1,NR,95,Table 3,30
11781748,139,tom,B,mcrpc,"no-prior-taxane,no-prior-AR-directed",Enzalutamide,none,NA,NA,101,"rPFS,PSA PFS",months,7.5,NR,95,Table S7,30
11781748,139,tom,A+B,mcrpc,"no-prior-taxane,no-prior-AR-directed",AAP or Enz,AR,gain (CN >= 8),positive,31,"rPFS,PSA PFS",months,2.7,NR,95,Table 3,30
11781748,139,tom,A+B,mcrpc,"no-prior-taxane,no-prior-AR-directed",AAP or Enz,AR,gain (CN < 8),positive,36,"rPFS,PSA PFS",months,6.3,NR,95,Table 3,30
11781748,139,tom,A+B,mcrpc,"no-prior-taxane,no-prior-AR-directed",AAP or Enz,"BRCA2,ATM",truncating mutation,positive,14,"rPFS,PSA PFS",months,1.8,NR,95,Table 3,30
11781748,139,tom,A+B,mcrpc,"no-prior-taxane,no-prior-AR-directed",AAP or Enz,TP53,altered (two or more),positive,19,"rPFS,PSA PFS",months,2.7,NR,95,Table 3,30
11781748,139,tom,A+B,mcrpc,"no-prior-taxane,no-prior-AR-directed",AAP or Enz,"BRCA2,ATM",monoallelic deletion,positive,22,"rPFS,PSA PFS",months,2.9,NR,95,Table 3,30
11781748,139,tom,A+B,mcrpc,"no-prior-taxane,no-prior-AR-directed",AAP or Enz,RB1,altered,positive,37,"rPFS,PSA PFS",months,3.6,NR,95,Table 3,30
11781749,139,tom,B,mcrpc,prior-AR-directed,"AAP or Enz,crossover to olaparib permitted",CDK12,qualifying or suspected deleterious alteration,,28,OS,months,11.5,7.8-17.7,95,Fig S6,35
11781749,139,tom,B,mcrpc,prior-AR-directed,"AAP or Enz,crossover to olaparib permitted","!PPP2R2A,!BRCA1,!BRCA2,!ATM,BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,RAD51B,RAD51C,RAD51D,RAD54L",qualifying or suspected deleterious alteration,,43,OS,months,10.8,7.8-17.0,95,Fig S10a,35
11781749,139,tom,B,mcrpc,"prior-AR-directed,prior-taxane","AAP or Enz,crossover to olaparib permitted",@CDK12,qualifying or suspected deleterious alteration,positive,20,OS,months,11.7,7.6-17.7,95,Fig S8c,35
11781749,139,tom,B,mcrpc,"prior-AR-directed,no-prior-taxane","AAP or Enz,crossover to olaparib permitted","@BRCA1,@BRCA2",qualifying or suspected deleterious alteration,positive,20,OS,months,18.8,9.9-NR,95,Fig S8a,35
11781749,139,tom,A,mcrpc,prior-AR-directed,olaparib,"BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,,162,rPFS-2,months,15.5,14.4-18.0,95,Fig S11A,35
11781749,139,tom,B,mcrpc,prior-AR-directed,"AAP or Enz,crossover to olaparib permitted","BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA2,!BRCA1,!ATM",qualifying or suspected deleterious alteration,,48,rPFS-2,months,7.9,6.0-9.7,95,Fig S11B,35
11781749,139,tom,B,mcrpc,"prior-AR-directed,no-prior-taxane","AAP or Enz,crossover to olaparib permitted",@CDK12,qualifying or suspected deleterious alteration,positive,8,OS,months,9,0.7-NR,95,Fig S8c,35
11781749,139,tom,A,mcrpc,prior-AR-directed,olaparib,"!PPP2R2A,BRCA1,BRCA2,ATM,BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,RAD51B,RAD51C,RAD51D,RAD54L",qualifying or suspected deleterious alteration,,249,OS,months,17.4,15.8-19.1,95,Fig S10b,35
11781749,139,tom,B,mcrpc,prior-AR-directed,"AAP or Enz,crossover to olaparib permitted",RAD51B,qualifying or suspected deleterious alteration,,1,OS,months,3.6,NC-NC,95,Fig S6,35
11781749,139,tom,A,mcrpc,prior-AR-directed,olaparib,RAD54L,qualifying or suspected deleterious alteration,,3,OS,months,19.3,9.0-19.3,95,Fig S6,35
11781749,139,tom,A,mcrpc,prior-AR-directed,olaparib,PPP2R2A,qualifying or suspected deleterious alteration,,6,OS,months,8.1,3.8-NC,95,Fig S6,35
11781749,139,tom,A,mcrpc,prior-AR-directed,olaparib,@CDK12,qualifying or suspected deleterious alteration,positive,61,OS,months,14.1,11.1-15.9,95,Fig S7c,35
11781749,139,tom,A,mcrpc,prior-AR-directed,olaparib,CHEK2,qualifying or suspected deleterious alteration,,7,OS,months,16.6,6.5-NC,95,Fig S6,35
11781749,139,tom,B,mcrpc,prior-AR-directed,"AAP or Enz,crossover to olaparib permitted","!BRCA1,!BRCA2,BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,ATM",qualifying or suspected deleterious alteration,positive,73,OS,months,13.3,11.2-17.7,95,Fig S7a,35
11781749,139,tom,B,mcrpc,prior-AR-directed,"AAP or Enz,crossover to olaparib permitted",@ATM,qualifying or suspected deleterious alteration,positive,24,OS,months,15.6,12.1-22.0,95,Fig S7b,35
11781749,139,tom,B,mcrpc,prior-AR-directed,"AAP or Enz,crossover to olaparib permitted",BRCA2,qualifying or suspected deleterious alteration,,47,OS,months,15.2,10.7-19.8,95,Fig S6,35
11781749,139,tom,A,mcrpc,prior-AR-directed,olaparib,"BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,162,OS,months,19.1,17.4-23.4,95,Fig 1A,35
11781749,139,tom,A,mcrpc,"prior-AR-directed,no-prior-taxane",olaparib,@CDK12,qualifying or suspected deleterious alteration,positive,15,OS,months,17.4,11.0-NR,95,Fig S8c,35
11781749,139,tom,A,mcrpc,prior-AR-directed,olaparib,"!PPP2R2A,!BRCA1,!BRCA2,!ATM,BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,RAD51B,RAD51C,RAD51D,RAD54L",qualifying or suspected deleterious alteration,,88,OS,months,14.2,11.4-16.4,95,Fig S10a,35
11781749,139,tom,A,mcrpc,prior-AR-directed,olaparib,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,RAD51B,RAD51C,RAD51D,RAD54L,PPP2R2A,BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,256,OS,months,17.3,15.5-18.6,95,Fig 3A,35
11781749,139,tom,B,mcrpc,prior-AR-directed,"AAP or Enz,crossover to olaparib permitted","BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,,83,rPFS-2,months,10.6,9.1-14.0,95,Fig S11A,35
11781749,139,tom,A,mcrpc,"prior-AR-directed,no-prior-taxane",olaparib,"@BRCA1,@BRCA2",qualifying or suspected deleterious alteration,positive,23,OS,months,NR,NR-NR,95,Fig S8a,35
11781749,139,tom,B,mcrpc,prior-AR-directed,"AAP or Enz,crossover to olaparib permitted",BRCA1,qualifying or suspected deleterious alteration,,5,OS,months,9.4,5.5-14.6,95,Fig S6,35
11781749,139,tom,A,mcrpc,prior-AR-directed,olaparib,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA2,!BRCA1,!ATM",qualifying or suspected deleterious alteration,,94,rPFS-2,months,9.9,8.0-11.6,95,Fig S11B,35
11781749,139,tom,A,mcrpc,prior-AR-directed,olaparib,CDK12,qualifying or suspected deleterious alteration,,61,OS,months,14.1,11.1-15.9,95,Fig S6,35
11781749,139,tom,B,mcrpc,"prior-AR-directed,prior-taxane","AAP or Enz,crossover to olaparib permitted",@ATM,qualifying or suspected deleterious alteration,positive,15,OS,months,12.4,7.4-17.9,95,Fig S8b,35
11781749,139,tom,B,mcrpc,prior-AR-directed,"AAP or Enz,crossover to olaparib permitted","BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,83,OS,months,14.7,11.9-18.8,95,Fig 1A,35
11781749,139,tom,A,mcrpc,prior-AR-directed,olaparib,ATM,qualifying or suspected deleterious alteration,,62,OS,months,18,14.4-23.4,95,Fig S6,35
11781749,139,tom,A,mcrpc,"prior-AR-directed,prior-taxane",olaparib,@CDK12,qualifying or suspected deleterious alteration,positive,46,OS,months,12.8,9.5-15.8,95,Fig S8c,35
11781749,139,tom,A,mcrpc,prior-AR-directed,olaparib,@ATM,qualifying or suspected deleterious alteration,positive,62,OS,months,18,14.4-23.4,95,Fig S7b,35
11781749,139,tom,B,mcrpc,prior-AR-directed,"AAP or Enz,crossover to olaparib permitted","BRCA2,BRCA1,ATM,BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",qualifying or suspected deleterious alteration,,131,rPFS-2,months,9.7,8.0-11.2,95,Fig S11C,35
11781749,139,tom,B,mcrpc,prior-AR-directed,"AAP or Enz,crossover to olaparib permitted",@CDK12,qualifying or suspected deleterious alteration,positive,28,OS,months,11.5,7.8-17.7,95,Fig S7c,35
11781749,139,tom,A,mcrpc,prior-AR-directed,olaparib,BRCA1,qualifying or suspected deleterious alteration,,8,OS,months,11.7,1.4-NC,95,Fig S6,35
11781749,139,tom,A,mcrpc,prior-AR-directed,olaparib,"!BRCA1,!BRCA2,BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,ATM",qualifying or suspected deleterious alteration,positive,154,OS,months,15.8,13.9-17.3,95,Fig S7a,35
11781749,139,tom,B,mcrpc,prior-AR-directed,"AAP or Enz,crossover to olaparib permitted",CHEK2,qualifying or suspected deleterious alteration,,5,OS,months,17.1,3.4-NC,95,Fig S6,35
11781749,139,tom,A,mcrpc,prior-AR-directed,olaparib,"BRCA2,BRCA1,ATM,BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L",qualifying or suspected deleterious alteration,,256,rPFS-2,months,13.4,11.9-15.2,95,Fig S11C,35
11781749,139,tom,A,mcrpc,"prior-AR-directed,prior-taxane",olaparib,"@BRCA1,@BRCA2",qualifying or suspected deleterious alteration,positive,66,OS,months,17.4,12.7-25.3,95,Fig S8a,35
11781749,139,tom,B,mcrpc,prior-AR-directed,"AAP or Enz,crossover to olaparib permitted","BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA2,!BRCA1,!ATM",qualifying or suspected deleterious alteration,,48,rPFS,months,3.3,NR,NA,Figure S1,17
11781749,139,tom,A,mcrpc,"prior-AR-directed,no-prior-taxane",olaparib,@ATM,qualifying or suspected deleterious alteration,positive,27,OS,months,18.4,11.1-23.8,95,Fig S8b,35
11781749,139,tom,A,mcrpc,prior-AR-directed,olaparib,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA2,!BRCA1,!ATM",qualifying or suspected deleterious alteration,,94,rPFS,months,4.8,NR,NA,Figure S1,17
11781749,139,tom,B,mcrpc,prior-AR-directed,"AAP or Enz,crossover to olaparib permitted",RAD54L,qualifying or suspected deleterious alteration,,2,OS,months,5.7,3-8.4,95,Fig S6,35
11781749,139,tom,A,mcrpc,prior-AR-directed,olaparib,"BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA2,!BRCA1,!ATM",qualifying or suspected deleterious alteration,positive,94,OS,months,14.1,11.1-15.9,95,Fig 2A,35
11781749,139,tom,B,mcrpc,prior-AR-directed,"AAP or Enz,crossover to olaparib permitted","BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,RAD51B,RAD51C,RAD51D,RAD54L,PPP2R2A,BRCA2,BRCA1,ATM",qualifying or suspected deleterious alteration,positive,131,OS,months,14,11.5-17.1,95,Fig 3A,35
11781749,139,tom,B,mcrpc,prior-AR-directed,"AAP or Enz,crossover to olaparib permitted","!PPP2R2A,BRCA1,BRCA2,ATM,BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,RAD51B,RAD51C,RAD51D,RAD54L",qualifying or suspected deleterious alteration,,123,OS,months,13.6,11.3-16.8,95,Fig S10b,35
11781749,139,tom,B,mcrpc,prior-AR-directed,"AAP or Enz,crossover to olaparib permitted",ATM,qualifying or suspected deleterious alteration,,24,OS,months,15.6,12.1-22.0,95,Fig S6,35
11781749,139,tom,B,mcrpc,prior-AR-directed,"AAP or Enz,crossover to olaparib permitted","BRIP1,BARD1,CDK12,CHEK1,CHEK2,FANCL,PALB2,PPP2R2A,RAD51B,RAD51C,RAD51D,RAD54L,!BRCA2,!BRCA1,!ATM",qualifying or suspected deleterious alteration,positive,48,OS,months,11.5,8.2-17.1,95,Fig 2A,35
11781749,139,tom,A,mcrpc,prior-AR-directed,olaparib,BRCA2,qualifying or suspected deleterious alteration,,81,OS,months,24.8,17.4-NC,95,Fig S6,35
11781749,139,tom,B,mcrpc,"prior-AR-directed,prior-taxane","AAP or Enz,crossover to olaparib permitted","@BRCA1,@BRCA2",qualifying or suspected deleterious alteration,positive,32,OS,months,12.6,7.2-18.1,95,Fig S8a,35
11781749,139,tom,B,mcrpc,"prior-AR-directed,no-prior-taxane","AAP or Enz,crossover to olaparib permitted",@ATM,qualifying or suspected deleterious alteration,positive,9,OS,months,NR,NR-NR,95,Fig S8b,35
11781749,139,tom,A,mcrpc,"prior-AR-directed,prior-taxane",olaparib,@ATM,qualifying or suspected deleterious alteration,positive,35,OS,months,17.6,14.4-27.9,95,Fig S8b,35
11781750,139,tom,single,mcrpc,prior-taxane,olaparib,"ARID1A,ATRX,CHEK1,CHEK2,FANCA,FANCF,FANCG,FANCI,FANCM,MSH2,NBN,RAD50,WRN,BRCA1,BRCA2,ATM,CDK12,PALB2",altered,positive,98,OS,months,13,9.9-15.1,95,Figure S6B,39
11781750,139,tom,single,mcrpc,prior-taxane,olaparib,"ARID1A,ATRX,CHEK1,CHEK2,FANCA,FANCF,FANCG,FANCI,FANCM,MSH2,NBN,RAD50,WRN",altered,positive,18,OS,months,7.7,4.3-19.1,95,Figure S6B,39
11781750,139,tom,single,mcrpc,prior-taxane,olaparib,"BRCA1,BRCA2",altered,positive,32,rPFS,months,8.3,5.5-13.0,95,"Figure 3C,Figure S6A",39
11781750,139,tom,single,mcrpc,prior-taxane,olaparib,"ARID1A,ATRX,CHEK1,CHEK2,FANCA,FANCF,FANCG,FANCI,FANCM,MSH2,NBN,RAD50,WRN",altered,positive,18,rPFS,months,2.8,2.6-4.3,95,"Figure 3C,Figure S6A",39
11781750,139,tom,single,mcrpc,prior-taxane,olaparib,ATM,altered,positive,21,OS,months,16.6,8.9-24.2,95,Figure S6B,39
11781750,139,tom,single,mcrpc,prior-taxane,olaparib,ATM,altered,positive,21,rPFS,months,5.8,4.4-10.9,95,"Figure 3C,Figure S6A",39
11781750,139,tom,single,mcrpc,prior-taxane,olaparib,CDK12,altered,positive,20,OS,months,9.5,8.2-10.1,95,Figure S6B,39
11781750,139,tom,single,mcrpc,prior-taxane,olaparib,PALB2,altered,positive,7,OS,months,13.9,0.4-NR,95,Figure S6B,39
11781750,139,tom,single,mcrpc,prior-taxane,olaparib,CDK12,altered,positive,20,rPFS,months,2.9,2.6-7.5,95,"Figure 3C,Figure S6A",39
11781750,139,tom,single,mcrpc,prior-taxane,olaparib,"ARID1A,ATRX,CHEK1,CHEK2,FANCA,FANCF,FANCG,FANCI,FANCM,MSH2,NBN,RAD50,WRN,BRCA1,BRCA2,ATM,CDK12,PALB2",altered,positive,98,rPFS,months,5.5,4.9-7.5,95,"Figure 3C,Figure S6A",39
11781750,139,tom,single,mcrpc,prior-taxane,olaparib,PALB2,altered,positive,7,rPFS,months,5.3,0.4-NR,95,"Figure 3C,Figure S6A",39
11781750,139,tom,single,mcrpc,prior-taxane,olaparib,"BRCA1,BRCA2",altered,positive,32,OS,months,17.7,9.9-22.2,95,Figure S6B,39
